NUMBER,NAME,LOCATION,TYPE,General Observations,SUMMIT CRATER,Crater Observations,Underwater Extent,Latitude,Longitude,Elevation Min (m),Elevation Max (m),Basal Area (km2),Basal Width (km),Minor Basal Axis (km),Major Basal Axis (km),Summit Area (km2),Summit Width (km),Height (km),Height Max (km),Volume (km3),Volume Max (km3),Height / Basal width,Summit width / Basal width,Ellipticity index [outline],Irregularity index [outline],Ellipticity index [avg. contours],Irregularity index [avg. contours],Mean Slope [total] (º),Mean Slope [flank] (º),Mean Slope [low flank] (º),Mean Slope [main flank] (º),Mean Slope [summit] (º),Max. Avg. Slope (º),Max. Avg. Slope Height Fraction,Azimuth Major Basal Axis (º),Avg. Azimuth Elevation contours (º),Sec. Peaks [total],Sec. Peaks [flank],Sec. Peaks [summit],Holes [total],Holes [flank],Holes [summit],Contours [flank],Contours [summit],Elevation Lowest Contour (m),Elevation Fraction Lowest Contour,Width Lowest Contour (m),Elevation Summit Region Contour (m),Elevation Fraction Summit Region Contour,Crater Elevation Min (m),Crater Elevation Min [fraction],Crater Area (km2),Crater Width (km),Major Crater Axis (km),Azimuth Major Crater Axis (º),Crater Depth (km),Crater Depth Max (km),Crater Volume (km3),Crater Volume Max (km3),Ellipticity index [crater outline],Irregularity index [crater outline],Crater Depth / Crater Width,Crater Width / Edifice Width,Crater Depth / Edifice Height,Crater Volume / Edifice Volume,Mean Crater Slope (º)
1504-006,[Sabancaya-Ampato],Perú,Stratovolcanoes,Twin volcanoes considered together; summit region includes both peaks,NO,,No,-15.820,-71.881,4391,6274,141,13.4,11.1,15.7,16.0,4.52,1.56,1.88,47,98,0.116,0.337,1.37,1.16,2.35,1.42,13.9,12.5,12.2,15.3,24.5,18.8,0.54,46,34,7,4,3,3,3,0,4,14,5400,0.54,6.09,5550,0.62, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1504-007,"Chachani, Nevado",Perú,Stratovolcano,Outline delineation problematic; summit region includes several peaks,NO,,No,-16.195,-71.533,3142,6052,313,20.0,18.0,23.4,43.4,7.43,2.26,2.91,190,409,0.113,0.372,1.37,1.26,2.11,1.63,17.5,15.9,15.4,17.0,26.8,20.9,0.66,126,152,21,12,9,0,0,0,11,20,4550,0.48,13.1,5050,0.66, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1504-01=,"Misti, El",Perú,Stratovolcano,,NO,Small crater,No,-16.297,-71.412,2968,5785,89.4,10.7,8.76,12.6,0.98,1.12,2.07,2.82,43.9,108.3,0.194,0.105,1.47,1.24,1.34,1.06,21.3,21.3,18.3,25.0,17.5,33.4,0.88,146,92,0,0,0,2,2,0,31,2,4150,0.42,7.23,5650,0.95, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1504-02=,Ubinas,Perú,Stratovolcano,,YES,Crater considered as summit region,No,-16.349,-70.903,3407,5606,58.8,8.65,6.81,10.3,1.13,1.20,1.39,2.20,22.6,73.4,0.160,0.138,1.51,1.25,1.43,1.11,18.2,18.2,16.9,20.3,ND,32.9,0.88,122,13,0,0,ND,0,0,ND,15,ND,4700,0.59,5.56,crater,ND,5215,0.82,1.13,1.20,1.50,33,0.28,0.38,0.08,0.21,1.57,1.09,0.23,0.14,0.20,0.004,19.9
1504-04=,Tutupaca,Perú,Stratovolcano,Summit region includes two peaks,NO,,No,-17.026,-70.372,4595,5794,60.5,8.78,7.18,10.1,1.97,1.58,0.97,1.20,13.2,24.7,0.111,0.180,1.34,1.38,2.17,1.34,14.7,14.3,10.8,18.3,25.4,31.6,0.71,61,134,10,8,2,0,0,0,13,4,4950,0.30,6.14,5550,0.80, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1504-05-,Yucamane,Perú,Stratovolcanoes,Summit region includes three main peaks,NO,Small crater,No,-17.184,-70.196,3701,5490,76.8,9.89,8.57,10.9,11.1,3.76,1.39,1.79,25.7,65.8,0.140,0.380,1.33,1.24,3.28,1.34,17.1,16.1,15.8,22.4,23.1,22.4,0.73,146,170,6,1,5,0,0,0,2,9,4950,0.70,4.12,5000,0.73, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1504-06-,"Casiri, Nevados",Perú,Stratovolcanoes,Closed elevation contour(s) not representative,NO,,No,-17.470,-69.815,4595,5617,19.6,4.99,4.21,5.70,2.77,1.88,0.49,1.02,2.9,9.5,0.098,0.376,1.49,1.23,2.51,1.24,19.4,18.2,18.2,ND,24.4,23.6,0.69,147,83,8,3,5,2,2,0,1,6,5300,0.69,1.88,5300,0.69, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1505-01=,Tacora,Chile-N,Stratovolcano,,NO,Large but incomplete crater,No,-17.721,-69.773,4503,5954,30.8,6.26,5.29,7.87,4.71,2.45,1.21,1.45,9.4,17.0,0.194,0.391,1.60,1.23,1.38,1.12,20.7,19.8,16.8,28.7,25.7,31.6,0.65,112,117,0,0,0,0,0,0,8,10,5100,0.41,3.84,5450,0.65, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1505-011,Taapaca,Chile-N,Complex volcano,,NO,,No,-18.113,-69.508,4237,5811,90.0,10.7,9.33,12.2,1.70,1.47,1.18,1.57,25.9,59.9,0.110,0.138,1.33,1.23,2.55,1.62,18.0,17.8,15.9,23.6,25.1,30.0,0.87,110,51,10,8,2,0,0,0,11,4,5100,0.55,5.56,5600,0.87, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1505-012,Parinacota,Chile-N,Stratovolcano,,NO,,No,-18.166,-69.142,4734,6327,31.2,6.30,5.32,7.40,0.65,0.91,1.29,1.59,11.1,20.0,0.204,0.144,1.39,1.28,1.19,1.02,21.9,22.1,18.1,29.4,12.1,32.8,0.73,149,17,0,0,0,0,0,0,18,1,5400,0.42,3.90,6250,0.95, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1505-02=,Guallatiri,Chile-N,Stratovolcano,,NO,,No,-18.423,-69.090,4788,6048,27.1,5.87,4.77,8.05,0.31,0.63,0.97,1.26,7.8,15.6,0.165,0.107,1.95,1.20,1.52,1.17,21.4,21.5,17.9,24.4,13.3,26.7,0.72,152,28,3,3,0,0,0,0,16,0,5250,0.37,4.48,6000,0.96, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1505-021,Tambo Quemado,Bolivia,Pyroclastic shield,,YES,Crater considered as summit region,No,-18.626,-68.749,3871,4304,33.9,6.57,5.46,8.14,2.66,1.84,0.38,0.43,3.5,5.3,0.058,0.280,1.58,1.20,1.37,1.06,7.9,7.9,5.1,9.2,ND,5.1,0.18,82,88,0,0,ND,2,2,ND,1,ND,3950,0.18,5.75,crater,ND,3942,0.16,2.66,1.84,2.19,19,0.17,0.36,0.13,0.44,1.42,1.06,0.09,0.28,0.45,0.04,15.7
1505-03=,Isluga,Chile-N,Stratovolcano,,NO,Small crater,No,-19.155,-68.820,4030,5545,62.7,8.93,7.74,9.71,1.00,1.13,0.92,1.52,15.1,46.0,0.103,0.126,1.34,1.29,2.36,1.21,15.8,15.9,15.1,19.9,13.2,22.7,0.74,65,80,5,5,0,3,3,0,8,1,5100,0.71,3.76,5450,0.94, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1505-032,Tata Sabaya,Bolivia,Stratovolcano,,NO,,No,-19.136,-68.524,3840,5378,37.4,6.90,5.99,7.87,0.18,0.48,1.26,1.54,9.9,19.3,0.183,0.069,1.37,1.27,1.31,1.07,17.2,17.2,12.9,23.6,22.7,38.1,0.92,40,6,4,4,0,0,0,0,20,1,4350,0.33,4.45,5300,0.95, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1505-04=,Irruputuncu,Chile-N,Stratovolcano,Summit region includes several peaks,NO,,No,-20.732,-68.553,4189,5148,14.2,4.25,2.99,4.97,2.89,1.92,0.72,0.96,3.4,6.7,0.169,0.451,1.42,1.33,2.06,1.21,23.1,23.6,22.2,29.2,21.1,31.4,0.64,98,59,3,1,2,0,0,0,4,4,4750,0.58,2.58,4900,0.74, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1505-05=,Olca-Paruma,Chile-N,Stratovolcanoes,Summit region includes several peaks,NO,,No,-20.946,-68.441,4302,5417,79.6,10.1,8.72,12.1,6.95,2.97,0.79,1.12,19.8,42.9,0.079,0.295,1.46,1.23,5.00,1.43,13.8,13.8,13.6,16.4,14.4,17.2,0.76,134,97,8,4,4,0,0,0,2,4,5150,0.76,3.81,5200,0.81, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1505-05=A,Aucanquilcha,Chile-N,Stratovolcano,Summit region includes several peaks,NO,,No,-21.221,-68.469,4659,6164,64.9,9.09,7.67,10.8,3.96,2.25,1.27,1.51,24.4,39.1,0.139,0.247,1.41,1.21,2.35,1.26,19.5,19.3,14.4,24.3,22.6,28.4,0.82,130,95,7,4,3,2,2,0,16,5,5150,0.33,6.71,5900,0.82, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1505-06=,Ollagüe,Chile-N,Stratovolcano,,NO,,No,-21.303,-68.179,3865,5841,113,12.0,9.35,13.4,0.17,0.47,1.73,1.98,43,69,0.145,0.039,1.42,1.30,1.47,1.14,15.7,15.7,11.9,20.6,13.8,32.3,0.78,141,127,7,7,0,0,0,0,29,0,4400,0.27,7.96,5800,0.98, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1505-061,"Azufre, Cerro del",Chile-N,Stratovolcano,Outline delineation problematic; summit region includes several peaks,NO,,No,-21.784,-68.241,3747,5804,96.5,11.1,9.18,13.3,6.54,2.88,1.40,2.06,33.4,91.7,0.126,0.260,1.62,1.22,1.79,1.40,17.6,17.3,15.4,23.2,21.6,29.0,0.73,35,148,7,2,5,0,0,0,11,7,4950,0.58,6.07,5450,0.83, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1505-07=,San Pedro,Chile-N,[Stratovolcano],Only San Pedro edifice is considered,NO,,No,-21.888,-68.392,3574,6136,124,12.5,9.91,14.4,4.26,2.33,1.59,2.56,40,104,0.127,0.186,1.35,1.19,1.64,1.08,15.7,15.3,14.4,30.7,24.5,32.7,0.81,29,92,5,3,2,0,0,0,9,7,5350,0.69,3.82,5750,0.85, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1505-07=,[San Pedro-San Pablo],Chile-N,Stratovolcanoes,Twin volcanoes considered together; summit region includes both peaks,NO,,No,-21.888,-68.392,3781,6136,228,17.1,14.4,19.8,30.5,6.24,2.14,2.36,126,184,0.126,0.366,1.35,1.15,2.21,1.27,15.9,14.2,11.0,18.5,26.7,29.1,0.60,115,93,5,1,4,0,0,0,17,17,4450,0.28,12.2,5250,0.62, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1505-076A,Uturuncu,Bolivia,Stratovolcano,Summit region includes two peaks,NO,,No,-22.264,-67.187,4363,5981,174,14.9,12.7,17.3,1.80,1.51,1.35,1.62,54,102,0.091,0.102,1.48,1.29,1.84,1.34,11.6,11.5,10.0,13.1,22.8,22.4,0.83,154,74,18,17,1,0,0,0,18,4,4900,0.33,10.4,5750,0.86, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1505-09=,Putana,Chile-N,Stratovolcano,Outline delineation problematic; closed elevation contour(s) not representative,NO,Small crater,No,-22.557,-67.853,4544,5877,57.5,8.56,7.17,9.36,8.40,3.27,0.88,1.33,17.3,40.3,0.103,0.382,1.48,1.40,1.67,1.24,19.4,19.6,19.6,ND,18.4,19.9,0.72,144,121,15,8,7,6,4,2,1,7,5500,0.72,3.27,5500,0.72, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1505-091,Sairecabur,Chile-N,Stratovolcanoes,Outline delineation problematic; summit region includes several peaks,NO,Small crater,No,-22.719,-67.891,4393,5949,216,16.6,11.5,21.9,59.1,8.68,1.24,1.56,79,156,0.075,0.523,1.75,1.24,5.12,1.91,15.5,14.7,14.7,ND,17.7,18.6,0.62,16,17,35,9,26,11,5,6,1,11,5350,0.62,8.68,5350,0.62, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1505-092,Licancabur,Chile-N,Stratovolcano,,NO,,No,-22.834,-67.886,3897,5911,28.5,6.02,5.09,7.17,0.21,0.52,1.43,2.01,10.3,25.0,0.238,0.086,1.61,1.35,1.21,1.04,24.4,24.4,20.6,31.9,19.2,34.2,0.87,65,96,0,0,0,0,0,0,20,1,4900,0.50,3.59,5850,0.97, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1505-093,Guayaques,Chile-N,Lava domes,Summit region includes several peaks,NO,,No,-22.899,-67.567,4606,5585,61.1,8.82,5.10,11.1,17.5,4.72,0.68,0.98,13.9,30.6,0.077,0.535,1.67,1.28,2.84,1.92,16.5,14.8,14.0,16.9,20.7,18.6,0.61,23,176,19,5,14,0,0,0,3,7,5100,0.50,6.10,5200,0.61, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1505-094,Purico Complex [Chascón],Chile-N,[Lava dome],Only main edifice is considered,NO,,No,-23.012,-67.691,4668,5697,16.3,4.55,4.06,5.03,1.00,1.13,0.91,1.03,5.5,7.4,0.199,0.248,1.25,1.10,1.36,1.09,24.5,24.6,20.4,26.2,22.3,30.0,0.57,146,152,0,0,0,0,0,0,14,2,4900,0.23,4.00,5550,0.86, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1505-095,Colachi,Chile-N,Stratovolcano,,NO,,No,-23.241,-67.647,4594,5622,7.87,3.16,2.55,3.82,0.07,0.30,0.62,1.03,1.25,4.02,0.196,0.095,1.79,1.40,1.43,1.05,23.4,23.5,20.8,31.2,12.5,33.8,0.83,38,128,0,0,0,0,0,0,9,0,5200,0.59,1.68,5600,0.98, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1505-096,Acamarachi,Chile-N,Stratovolcano,,NO,,No,-23.294,-67.618,4790,6013,18.0,4.79,3.97,5.66,0.17,0.46,0.98,1.22,4.6,8.6,0.204,0.097,1.60,1.25,1.43,1.06,22.4,22.4,19.0,27.1,17.9,36.7,0.87,23,177,3,3,0,0,0,0,15,1,5250,0.38,3.20,5950,0.95, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1505-098,Chiliques,Chile-N,Stratovolcano,,NO,Small crater,No,-23.579,-67.704,4551,5767,18.9,4.91,4.31,6.01,0.35,0.67,1.02,1.22,4.8,8.5,0.208,0.136,1.53,1.26,1.19,1.03,20.7,20.7,15.2,28.1,15.6,34.6,0.86,70,25,2,1,1,0,0,0,16,1,4950,0.33,3.31,5700,0.94, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1505-10=,Láscar,Chile-N,Stratovolcanoes,,NO,Large crater but not on summit,No,-23.369,-67.740,4274,5586,33.8,6.56,5.77,7.64,5.46,2.64,0.98,1.31,9.8,22.3,0.149,0.402,1.38,1.23,1.74,1.07,19.1,18.6,16.7,26.5,22.1,29.9,0.78,47,75,5,3,2,2,2,0,6,5,5050,0.59,3.69,5300,0.78, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1505-102,Miñiques,Chile-N,Stratovolcanoes,Summit region includes two peaks,NO,,No,-23.817,-67.759,4008,5860,69.6,9.42,7.60,11.7,2.51,1.79,1.40,1.85,25.0,52.3,0.149,0.190,1.61,1.25,1.58,1.15,17.9,17.6,16.0,24.0,26.0,27.0,0.70,172,24,3,2,1,0,0,0,12,6,5000,0.54,4.56,5550,0.83, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1505-104,Caichinque,Chile-N,[Stratovolcano],Only main edifice is considered,NO,,No,-23.949,-67.740,3987,4456,5.61,2.67,1.98,3.35,0.26,0.58,0.33,0.47,0.52,1.21,0.122,0.216,1.59,1.24,1.34,1.01,14.1,14.1,13.2,21.0,13.6,21.1,0.88,170,97,0,0,0,0,0,0,3,1,4300,0.67,1.10,4400,0.88, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1505-107,Pular,Chile-N,Stratovolcanoes,Outline delineation problematic; summit region includes several peaks,NO,,No,-24.201,-68.067,3596,6204,301,19.6,17.7,22.0,30.3,6.21,2.04,2.61,160,319,0.104,0.317,1.30,1.18,2.55,1.32,15.6,14.7,12.8,18.7,23.4,23.2,0.63,38,60,20,9,11,4,4,0,16,15,4700,0.42,12.4,5450,0.71, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1505-109,Socompa,Chile-N,Stratovolcano,Outline delineation problematic,NO,,No,-24.397,-68.246,3652,6011,158,14.2,11.6,17.5,0.55,0.83,2.12,2.36,81,119,0.149,0.059,1.53,1.20,1.48,1.28,17.6,17.5,12.5,19.9,24.8,30.6,0.93,85,72,14,13,1,5,5,0,36,3,4100,0.19,11.8,5850,0.93, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1505-11=,Llullaillaco,Chile-N,Stratovolcano,,NO,,No,-24.720,-68.537,4611,6715,88.4,10.6,8.10,13.3,0.12,0.39,1.71,2.10,37.3,68.9,0.161,0.037,1.65,1.22,1.49,1.13,18.3,18.3,15.2,22.4,20.2,27.6,0.83,76,97,11,11,0,0,0,0,27,1,5350,0.35,7.06,6650,0.97, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1505-112,"Escorial, Cerro",Chile-N,Stratovolcano,Outline delineation problematic; summit region includes several peaks,NO,,No,-25.083,-68.367,4807,5447,25.3,5.68,3.69,7.77,7.24,3.04,0.47,0.64,3.7,7.7,0.083,0.534,2.10,1.28,4.78,1.60,14.9,14.8,14.8,ND,15.2,14.3,0.61,166,165,7,2,5,2,1,1,1,4,5200,0.61,3.04,5200,0.61, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1505-12=,Lastarria,Chile-N,Stratovolcano,Outline delineation problematic; summit region includes two peaks,NO,,No,-25.169,-68.508,4620,5697,37.5,6.91,5.29,8.26,4.52,2.40,0.80,1.08,7.8,18.0,0.116,0.347,1.47,1.23,4.42,1.20,14.5,13.8,13.5,21.7,19.4,21.7,0.72,118,174,3,2,1,0,0,0,2,5,5350,0.68,2.79,5400,0.72, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1505-121,Cordón del Azufre,Chile-N,Complex volcano,,NO,Small craters,No,-25.337,-68.522,4673,5465,42.2,7.33,6.00,8.24,1.75,1.49,0.57,0.79,6.3,15.5,0.077,0.203,1.32,1.24,2.11,1.15,10.6,10.6,9.7,12.7,10.7,16.5,0.85,122,178,4,4,0,4,4,0,6,2,5100,0.54,4.12,5350,0.85, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1505-122,"Bayo, Cerro",Chile-N,Complex volcano,Outline delineation problematic; summit region includes several peaks,NO,Small craters,No,-25.414,-68.591,3948,5400,116,12.2,10.5,13.5,27.9,5.96,0.90,1.45,33,98,0.074,0.490,1.41,1.25,2.69,1.69,13.1,13.2,13.2,12.5,12.8,13.7,0.72,152,36,14,5,9,5,2,3,2,6,5000,0.72,6.76,5050,0.76, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1505-123,"Nevada, Sierra",Chile-N,Complex volcano,Outline delineation problematic; summit region includes several peaks,NO,Small craters,No,-26.492,-68.560,4635,6134,198,15.9,13.4,17.8,19.1,4.93,1.15,1.50,73,143,0.073,0.310,1.34,1.23,2.62,1.46,13.4,13.2,12.4,15.4,15.2,19.5,0.81,75,102,21,11,10,7,4,3,9,5,5450,0.54,9.64,5850,0.81, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1505-124,Falso Azufre,Chile-N,Complex volcano,Outline delineation problematic; summit region includes several peaks,YES,,No,-26.801,-68.363,4499,5888,310,19.9,14.1,24.3,46.8,7.72,1.18,1.39,101,170,0.059,0.389,1.50,1.19,2.80,1.51,10.6,9.8,8.7,12.0,15.7,13.6,0.58,93,90,44,32,12,5,5,0,7,10,5050,0.40,13.0,5350,0.61,5735,0.89,0.93,1.09,1.41,153,0.09,0.15,0.04,0.11,1.68,1.04,0.08,0.05,0.08,0.0004,11.6
1505-125,"Incahuasi, Nevado de",Chile-N,Stratovolcanoes,,NO,Small crater,No,-27.033,-68.297,4357,6592,125,12.6,11.4,13.3,1.99,1.59,1.78,2.24,54,102,0.141,0.126,1.16,1.13,1.44,1.10,16.2,16.2,13.0,20.3,16.8,29.2,0.76,91,109,5,5,0,3,2,1,26,3,5150,0.35,8.49,6400,0.91, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1505-13=,"Ojos del Salado, Nevados",Chile-N,Stratovolcano,Outline delineation problematic,NO,,No,-27.110,-68.541,5224,6862,99.3,11.2,10.5,12.4,2.13,1.65,1.34,1.64,40.3,69.4,0.119,0.147,1.25,1.18,1.77,1.32,16.2,16.1,15.6,16.9,22.4,23.7,0.84,40,71,11,9,2,4,4,0,12,5,6050,0.50,6.62,6600,0.84, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1505-131,"Solo, El",Chile-N,Stratovolcano,,NO,,No,-27.106,-68.714,5234,6192,15.6,4.46,3.60,5.31,0.17,0.46,0.81,0.96,4.4,6.2,0.182,0.103,1.45,1.14,1.93,1.09,22.9,23.0,19.7,25.9,12.6,27.4,0.54,21,15,0,0,0,0,0,0,13,0,5550,0.33,3.34,6150,0.96, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1505-14-,Copiapó,Chile-N,Stratovolcano,,NO,,No,-27.307,-69.132,4869,6038,14.1,4.24,3.65,5.26,0.07,0.29,0.72,1.17,3.0,8.3,0.170,0.069,1.60,1.30,1.59,1.10,21.5,21.5,19.6,26.8,14.8,28.5,0.75,23,3,3,3,0,0,0,0,10,0,5550,0.58,2.27,6000,0.97, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1505-15-,"Tuzgle, Cerro",Argentina,Stratovolcano,,NO,,No,-24.057,-66.479,4278,5494,32.8,6.47,5.11,7.62,0.72,0.96,1.04,1.22,9.1,14.2,0.160,0.148,1.45,1.22,1.31,1.05,17.0,17.0,14.1,20.0,18.6,28.7,0.84,66,88,0,0,0,0,0,0,15,2,4650,0.31,4.60,5350,0.88, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1505-16-,Aracar,Argentina,Stratovolcano,,YES,Crater considered as summit region,No,-24.291,-67.783,3978,6061,113,12.0,10.9,13.0,1.20,1.24,1.86,2.08,50,75,0.155,0.103,1.26,1.18,1.59,1.11,16.1,16.1,9.9,20.2,ND,30.2,0.83,127,116,3,3,ND,0,0,ND,28,ND,4400,0.20,9.45,crater,ND,5715,0.83,1.20,1.24,1.49,65,0.13,0.33,0.07,0.32,1.45,1.09,0.10,0.10,0.07,0.001,15.1
1505-19-,"Cóndor, Cerro el",Argentina,Stratovolcano,Outline delineation problematic,NO,Small crater,No,-26.632,-68.361,4526,6412,128,12.8,9.37,15.1,1.48,1.37,1.44,1.89,51,102,0.113,0.108,1.41,1.23,1.93,1.21,15.5,15.4,14.0,17.4,19.3,23.9,0.91,95,144,7,6,1,5,5,0,19,3,5350,0.44,8.38,6250,0.91, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1505-20-,Peinado,Argentina,Stratovolcano,,NO,,No,-26.623,-68.116,4010,5839,44.3,7.51,6.82,8.48,0.11,0.38,1.48,1.83,15.3,30.5,0.197,0.050,1.28,1.18,1.25,1.03,18.5,18.5,14.1,22.6,14.7,34.1,0.90,51,117,2,2,0,0,0,0,25,0,4600,0.32,5.48,5800,0.98, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1505-22-,Tipas,Argentina,Complex volcano,Outline delineation problematic; summit region includes several peaks,NO,Small craters,No,-27.196,-68.561,4794,6660,153,13.9,11.5,16.7,11.3,3.80,1.10,1.87,43,147,0.079,0.273,1.46,1.23,2.33,1.55,14.5,14.1,13.8,16.4,18.6,18.2,0.78,98,176,26,19,7,6,5,1,5,8,6050,0.67,6.10,6250,0.78, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1506-011,Easter Island [Terevaka],Chile-Is,[Shield volcano],"Only Terevaka, the youngest shield of the island, is considered; outline delineation problematic",NO,,Partially,-27.086,-109.381,0,499,47.9,7.81,6.82,9.02,1.59,1.43,0.43,0.50,7.9,11.9,0.055,0.182,1.34,1.13,1.39,1.07,7.4,7.5,8.3,6.4,5.0,7.3,0.60,77,23,3,3,0,0,0,0,5,0,250,0.50,5.41,450,0.90, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1507-02=,San José,Chile-C,Stratovolcano,Summit region includes two peaks,NO,Small craters,No,-33.790,-69.896,2605,5847,92.8,10.9,7.66,13.3,6.16,2.80,1.58,3.24,42.4,167.5,0.146,0.258,1.50,1.26,2.72,1.13,24.0,24.2,24.1,24.8,22.0,28.0,0.88,78,151,7,3,4,1,0,1,7,6,5200,0.80,4.43,5500,0.89, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1507-021,Maipo,Chile-C,[Stratovolcano],Edifice within caldera is considered,NO,,No,-34.164,-69.832,3515,5256,48.7,7.87,6.42,9.32,0.22,0.53,1.45,1.74,18.3,30.7,0.184,0.068,1.47,1.34,1.51,1.06,20.3,20.3,16.5,26.3,15.9,32.3,0.77,14,110,0,0,0,0,0,0,22,1,4150,0.36,4.99,5200,0.97, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1507-022,Palomo,Chile-C,Stratovolcano,,NO,,No,-34.611,-70.297,3368,4840,11.3,3.80,2.93,4.62,0.08,0.31,0.96,1.47,2.8,8.7,0.252,0.082,1.55,1.38,1.35,1.04,26.9,27.0,25.6,31.5,18.3,36.2,0.80,82,116,0,0,0,0,0,0,11,0,4300,0.63,1.94,4800,0.97, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
